name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,r_str_x,r_td_x,r_sub_att,event_name,winner,Method,gender
James Toney,0.0,1.0,175.26,99.79,,Orthodox,55.0,0.0,0.0,2.41,0.27,0.0,0.0,0.0,0.0,,,,,,,
James Vick,13.0,5.0,190.5,70.31,193.04,Orthodox,37.0,4.13,0.39,3.31,0.6,0.26,0.33,0.57,0.7,7.0,0.0,0.0,"UFC Fight Night: Dos Anjos vs. Edwards, UFC Fight Night: Ngannou vs. Velasquez, UFC Fight Night: Cerrone vs. Medeiros, UFC 217: Bisping vs. St-Pierre, UFC 211: Miocic vs. Dos Santos, UFC Fight Night: Edgar vs Swanson, UFC Fight Night: Henderson vs Dos Anjos","Blue, Red","U-DEC, KO/TKO Punch",Men
James Wilks,7.0,4.0,185.42,77.11,190.5,Orthodox,45.0,1.82,0.45,2.03,0.5,1.27,0.22,0.66,3.8,46.0,0.0,0.0,"UFC 120: Bisping vs Akiyama, UFC 115: Liddell vs Franklin, The Ultimate Fighter: United States vs. United Kingdom Finale","Blue, Red","U-DEC, SUB Rear Naked Choke",Men
James Zikic,21.0,10.0,187.96,92.99,,Orthodox,47.0,1.47,0.35,1.6,0.44,0.5,0.25,0.74,0.5,,,,,,,
Jamey Simmons,7.0,4.0,167.64,61.23,177.8,Orthodox,31.0,0.79,0.21,1.92,0.74,0.0,0.0,0.5,0.0,,,,,,,
Jamey-Lyn Horth,6.0,1.0,170.18,56.7,167.64,Orthodox,33.0,3.97,0.62,3.53,0.57,0.5,0.25,0.7,0.0,,,,,,U-DEC,
Jamie Moyle,4.0,3.0,154.94,52.16,165.1,Orthodox,35.0,4.51,0.51,4.0,0.65,1.0,0.21,0.5,0.0,75.0,0.0,0.0,UFC 226: Miocic vs. Cormier,Blue,U-DEC,Women
Jamie Mullarkey,17.0,7.0,182.88,70.31,187.96,Orthodox,29.0,4.46,0.46,4.49,0.54,2.42,0.34,0.76,0.1,88.0,0.0,0.0,"UFC 293: Adesanya vs. Strickland, UFC Fight Night: Kara-France vs. Albazi, UFC 284: Makhachev vs. Volkanovski, UFC 260: Miocic vs. Ngannou, UFC Fight Night: Ortega vs. The Korean Zombie","Red, Blue","U-DEC, S-DEC, KO/TKO Punch",Men
Jamie Pickett,13.0,11.0,187.96,83.91,203.2,Orthodox,35.0,2.65,0.47,3.62,0.5,1.26,0.4,0.67,0.1,54.0,2.0,0.0,"UFC Fight Night: Kattar vs. Chikadze, UFC Fight Night: Costa vs. Vettori",Red,U-DEC,Men
Jamie Varner,21.0,11.0,172.72,70.31,180.34,Orthodox,39.0,2.92,0.34,2.55,0.58,3.49,0.53,0.66,0.8,4.0,0.0,0.0,"UFC on FOX: Dos Santos vs Miocic, UFC 173: Barao vs Dillashaw, UFC 169: Barao vs Faber 2, UFC 164: Henderson vs Pettis 2, UFC 68: The Uprising","Blue, Red","S-DEC, KO/TKO Punches, SUB Rear Naked Choke",Men
Jamie Yager,8.0,4.0,185.42,83.91,,Orthodox,40.0,3.08,0.39,2.55,0.63,0.0,0.0,0.66,0.0,31.0,0.0,0.0,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Blue,,Men
Jan Blachowicz,29.0,10.0,187.96,92.99,198.12,Orthodox,41.0,3.41,0.5,2.91,0.53,1.09,0.5,0.68,0.3,82.0,3.0,2.0,"UFC 291: Poirier vs. Gaethje 2, UFC Fight Night: Blachowicz vs. Rakic, UFC 267: Blachowicz vs. Teixeira, UFC 259: Blachowicz vs. Adesanya, UFC Fight Night: Blachowicz vs. Jacare, UFC 239: Jones vs. Santos, UFC Fight Night: Blachowicz vs. Santos, UFC Fight Night: Hunt vs. Oleinik, UFC Fight Night: Cerrone vs. Till, UFC 191: Johnson vs Dodson 2","Blue, Red","S-DEC, KO/TKO, U-DEC, KO/TKO Punch",Men
Jaqueline Amorim,8.0,1.0,160.02,52.16,172.72,Orthodox,28.0,3.33,0.52,1.85,0.62,1.48,0.23,0.0,5.4,3.0,0.0,4.0,"UFC Fight Night: Tuivasa vs. Tybura, UFC Fight Night: Luque vs. Dos Anjos, UFC 287: Pereira vs. Adesanya 2","Red, Blue",KO/TKO Punches,Women
Jared Cannonier,17.0,6.0,180.34,83.91,195.58,Switch,40.0,4.68,0.52,4.13,0.59,0.44,0.42,0.63,0.0,141.0,0.0,0.0,"UFC Fight Night: Cannonier vs. Strickland, UFC 271: Adesanya vs. Whittaker 2, UFC Fight Night: Cannonier vs. Gastelum, UFC 237: Namajunas vs. Andrade, UFC Fight Night: Maia vs. Usman, UFC Fight Night: Lawler vs. Dos Anjos, The Ultimate Fighter: Redemption Finale, UFC Fight Night: Rothwell vs Dos Santos","Red, Blue","U-DEC, KO/TKO Elbows, KO/TKO Kick, KO/TKO Punches",Men
Jared Gooden,23.0,9.0,182.88,77.11,195.58,Orthodox,30.0,5.08,0.49,6.68,0.48,0.67,1.0,0.65,0.2,111.0,0.0,0.0,UFC 260: Miocic vs. Ngannou,Blue,SUB Rear Naked Choke,Men
Jared Gordon,20.0,6.0,175.26,70.31,172.72,Orthodox,35.0,5.39,0.57,3.4,0.57,1.95,0.4,0.62,0.0,54.0,0.0,0.0,"UFC 295: Prochazka vs. Pereira, UFC Fight Night: Font vs. Vera, UFC Fight Night: Blaydes vs. Lewis, UFC Fight Night: Kattar vs. Ige, UFC Fight Night: Ngannou vs. Dos Santos, UFC Fight Night: Lee vs. Iaquinta, UFC Fight Night: Cerrone vs. Medeiros, UFC Fight Night: Chiesa vs. Lee","Red, Blue","KO/TKO Punch, U-DEC, S-DEC",Men
Jared Hamman,14.0,6.0,190.5,83.91,190.5,Orthodox,42.0,5.15,0.42,3.93,0.55,1.57,0.46,0.3,0.0,3.0,0.0,0.0,"UFC 164: Henderson vs Pettis 2, UFC 150: Henderson vs Edgar II, UFC 140: Jones vs Machida, UFC Fight Night: Marquardt vs Palhares",Blue,"KO/TKO Punches, U-DEC",Men
Jared Papazian,20.0,13.0,172.72,61.23,170.18,Southpaw,36.0,3.33,0.39,3.81,0.44,0.0,0.0,0.5,0.0,46.0,0.0,0.0,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Blue,,Men
Jared Rollins,8.0,4.0,175.26,77.11,,Orthodox,47.0,3.33,0.57,2.41,0.39,2.5,0.5,0.5,1.2,,,,,,,
Jared Rosholt,14.0,4.0,187.96,120.2,190.5,Orthodox,37.0,2.08,0.46,1.52,0.59,1.83,0.41,0.66,0.1,53.0,2.0,1.0,"UFC Fight Night: Teixeira vs Saint Preux, UFC 185: Pettis vs Dos Anjos, UFC Fight Night: Edgar vs Swanson, UFC Fight Night: Minotauro vs Nelson, The Ultimate Fighter: Team Rousey vs. Team Tate Finale","Red, Blue","U-DEC, KO/TKO Punches",Men
Jared Vanderaa,12.0,10.0,193.04,120.2,203.2,Orthodox,31.0,4.96,0.44,5.67,0.45,0.18,0.5,0.2,0.0,109.0,0.0,0.0,UFC Fight Night: Dos Anjos vs. Fiziev,Blue,U-DEC,Men
Jarjis Danho,7.0,1.0,190.5,120.2,187.96,Orthodox,40.0,3.38,0.5,5.25,0.49,0.51,0.16,1.0,0.0,,,,,,KO/TKO Punch,
Jarno Errens,14.0,5.0,180.34,65.77,185.42,Orthodox,29.0,3.44,0.46,3.36,0.63,0.0,0.0,0.28,0.3,106.0,0.0,0.0,UFC Fight Night: Ribas vs. Namajunas,Red,,Men
Jarred Brooks,13.0,2.0,160.02,56.7,157.48,Switch,30.0,2.12,0.46,1.66,0.62,4.54,0.57,0.69,0.6,42.0,2.0,0.0,UFC Fight Night: Rivera vs. Moraes,Blue,S-DEC,Men
Jasmine Jasudavicius,10.0,3.0,170.18,56.7,172.72,Orthodox,35.0,3.95,0.45,4.03,0.51,2.16,0.37,0.8,0.4,326.0,2.0,3.0,"UFC 297: Strickland vs. Du Plessis, UFC Fight Night: Muniz vs. Allen, UFC Fight Night: Kattar vs. Emmett","Red, Blue",U-DEC,Women
Jason Black,23.0,4.0,172.72,70.31,,Orthodox,51.0,1.06,0.47,2.6,0.45,0.48,0.33,0.28,6.2,,,,,,,
Jason Brilz,22.0,6.0,180.34,92.99,180.34,Orthodox,48.0,2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3,41.0,3.0,3.0,"UFC 114: Rampage vs Evans, UFC 96: Jackson vs Jardine, UFC Fight Night: Diaz vs Neer","Blue, Red","U-DEC, KO/TKO Punches",Men
Jason Day,19.0,12.0,182.88,83.91,182.88,Orthodox,42.0,3.61,0.54,3.46,0.47,1.13,1.0,0.0,0.0,67.0,0.0,0.0,UFC 83: Serra vs St-Pierre 2,Red,KO/TKO Punches,Men
Jason DeLucia,33.0,21.0,180.34,86.18,,Southpaw,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5.0,UFC 2: No Way Out,Red,KO/TKO Punches,Men
Jason Dent,22.0,13.0,177.8,70.31,180.34,Orthodox,43.0,2.01,0.39,3.7,0.62,0.0,0.0,0.26,1.4,14.0,0.0,1.0,The Ultimate Fighter: United States vs. United Kingdom Finale,Red,SUB Anaconda Choke,Men
Jason Gilliam,14.0,9.0,182.88,77.11,,Orthodox,,0.79,0.33,3.14,0.42,0.0,0.0,0.0,0.0,,,,,,,
Jason Gonzalez,11.0,5.0,187.96,70.31,187.96,Southpaw,34.0,3.06,0.39,3.13,0.58,0.0,0.0,0.3,1.0,4.0,0.0,1.0,UFC on FOX: Shevchenko vs. Pena,Red,SUB D'Arce Choke,Men
Jason High,21.0,6.0,172.72,70.31,185.42,Southpaw,42.0,1.28,0.42,1.56,0.48,2.36,0.63,0.37,2.8,41.0,4.0,4.0,UFC 167: St-Pierre vs Hendricks,Red,"U-DEC, SUB Guillotine Choke",Men
Jason Knight,20.0,5.0,177.8,65.77,180.34,Orthodox,31.0,2.95,0.33,3.02,0.51,1.31,0.31,0.47,1.7,62.0,0.0,0.0,"UFC 230: Cormier vs. Lewis, UFC Fight Night: Thompson vs. Till, UFC Fight Night: Swanson vs. Ortega",Blue,"KO/TKO Punch, SUB Rear Naked Choke, U-DEC",Men
Jason Lambert,26.0,13.0,190.5,83.91,190.5,Orthodox,48.0,3.21,0.58,1.84,0.5,1.35,0.36,0.28,2.4,64.0,2.0,0.0,"UFC 68: The Uprising, UFC Fight Night 5, UFC 59: Reality Check, UFC 58: USA vs Canada",Red,"KO/TKO Punch, KO/TKO Punches, SUB Kimura",Men
Jason MacDonald,25.0,16.0,190.5,83.91,203.2,Orthodox,48.0,1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0,1.0,0.0,0.0,"UFC on FUEL TV: Korean Zombie vs Poirier, UFC 129: St-Pierre vs Shields, UFC 113: Machida vs Shogun 2, UFC 88: Breakthrough, UFC 83: Serra vs St-Pierre 2, UFC 72: Victory, UFC 66: Liddell vs Ortiz 2, Ortiz vs Shamrock 3: The Final Chapter","Blue, Red","SUB Triangle Choke, SUB Rear Naked Choke, KO/TKO Elbows, KO/TKO Punches, SUB Guillotine Choke",Men
Jason Miller,23.0,10.0,185.42,83.91,,Orthodox,43.0,1.83,0.43,2.3,0.49,1.31,0.28,0.43,1.3,29.0,0.0,2.0,UFC 146: Dos Santos vs Mir,Blue,,Men
Jason Novelli,11.0,3.0,182.88,70.31,,Orthodox,44.0,1.73,0.24,3.55,0.66,0.7,0.33,1.0,0.0,,,,,,,
Jason Reinhardt,20.0,3.0,167.64,61.23,,Orthodox,54.0,0.51,0.4,4.07,0.43,1.91,0.12,0.5,0.0,,,,,,,
Jason Saggo,12.0,4.0,180.34,70.31,180.34,Orthodox,38.0,2.5,0.39,2.94,0.52,2.33,0.4,0.23,0.0,39.0,1.0,0.0,"UFC Fight Night: Rockhold vs. Branch, UFC 206: Holloway vs. Pettis, UFC Fight Night: MacDonald vs Thompson, UFC 196: McGregor vs Diaz, UFC Fight Night: MacDonald vs Saffiedine, UFC 174: Johnson vs Bagautinov","Blue, Red","S-DEC, KO/TKO Punches",Men
Jason Tan,5.0,3.0,177.8,77.11,,Orthodox,42.0,0.69,0.29,7.37,0.18,0.0,0.0,0.0,0.0,,,,,,,
Jason Thacker,0.0,1.0,177.8,83.91,,Orthodox,48.0,0.63,0.33,17.05,0.32,0.0,0.0,0.0,0.0,,,,,,,
Jason Von Flue,14.0,12.0,182.88,77.11,,Orthodox,48.0,1.89,0.36,3.23,0.52,0.62,0.16,0.58,1.5,50.0,0.0,2.0,UFC Fight Night 3,Red,SUB Von Flue Choke,Men
Jason Witt,19.0,9.0,177.8,77.11,177.8,Orthodox,37.0,2.15,0.44,2.54,0.52,6.9,0.48,1.0,0.9,2.0,1.0,0.0,"UFC Fight Night: Vera vs. Cruz, UFC Fight Night: Hermansson vs. Strickland",Blue,M-DEC,Men
Jason Young,9.0,6.0,175.26,65.77,185.42,Orthodox,37.0,2.97,0.37,3.2,0.5,1.98,0.66,0.55,0.0,2.0,0.0,0.0,"UFC on FUEL TV: Struve vs Miocic, UFC on FUEL TV: Gustafsson vs Silva","Blue, Red",U-DEC,Men
Javid Basharat,14.0,1.0,175.26,61.23,175.26,Orthodox,28.0,5.42,0.53,2.97,0.62,1.7,0.4,0.85,0.2,125.0,3.0,0.0,UFC Fight Night: Strickland vs. Imavov,Red,"CNC, U-DEC",Men
Javier Vazquez,16.0,5.0,170.18,65.77,175.26,Southpaw,46.0,2.43,0.36,1.99,0.72,2.56,0.52,0.57,1.5,,,,,,U-DEC,
Jay Cucciniello,8.0,1.0,170.18,70.31,,Orthodox,37.0,0.93,0.21,4.73,0.36,0.0,0.0,0.71,0.0,18.0,0.0,0.0,The Ultimate Fighter: Undefeated Finale,Blue,,Men
Jay Hieron,23.0,7.0,182.88,77.11,190.5,Orthodox,47.0,1.66,0.32,1.89,0.61,4.05,0.6,0.66,1.0,,,,,,,
Jay Perrin,10.0,7.0,170.18,61.23,170.18,Switch,30.0,3.71,0.46,3.9,0.44,2.83,0.52,0.58,0.0,,,,,,,
Jay Silva,10.0,11.0,187.96,83.91,,Southpaw,,1.13,0.34,3.07,0.4,0.0,0.0,0.38,1.0,,,,,,,
Jeff Cox,10.0,7.0,177.8,70.31,,Orthodox,55.0,0.56,0.25,1.69,0.33,4.23,0.5,0.8,0.0,,,,,,,
Jeff Curran,36.0,18.0,167.64,61.23,175.26,Orthodox,46.0,1.54,0.31,2.48,0.6,0.35,0.12,0.35,1.2,31.0,0.0,0.0,UFC on FUEL TV: Korean Zombie vs Poirier,Blue,,Men
Jeff Hougland,10.0,6.0,170.18,61.23,172.72,Orthodox,45.0,1.86,0.48,3.46,0.47,0.86,0.18,0.0,1.1,104.0,1.0,4.0,UFC 132: Cruz vs Faber,Red,U-DEC,Men
Jeff Hughes,10.0,4.0,187.96,113.4,195.58,Orthodox,35.0,3.95,0.51,3.67,0.6,0.71,0.5,0.45,0.0,,,,,,,
Jeff Joslin,5.0,3.0,182.88,77.11,,Orthodox,48.0,2.17,0.39,1.57,0.65,0.5,0.33,0.64,0.5,,,,,,,
Jeff Molina,11.0,2.0,167.64,56.7,175.26,Orthodox,26.0,7.25,0.48,5.04,0.55,0.0,0.0,0.66,0.0,129.0,0.0,0.0,"UFC Fight Night: Volkov vs. Rozenstruik, UFC Fight Night: Costa vs. Vettori",Red,"S-DEC, U-DEC",Men
Jeff Monson,60.0,26.0,175.26,112.04,187.96,Orthodox,53.0,0.97,0.3,2.87,0.59,1.06,0.12,0.66,0.7,25.0,0.0,0.0,"UFC 61: Bitter Rivals, UFC 59: Reality Check, UFC 57: Liddell vs Couture 3, UFC 27: Ultimate Bad Boyz",Red,"KO/TKO Punches, S-DEC, SUB North-South Choke, U-DEC",Men
Jeff Newton,4.0,2.0,187.96,92.99,,Sideways,57.0,0.28,0.2,1.41,0.52,0.0,0.0,0.0,8.5,,,,,,,
Jeka Saragih,14.0,3.0,172.72,65.77,175.26,Orthodox,29.0,2.76,0.5,2.84,0.4,2.37,1.0,0.66,0.6,4.0,1.0,0.0,"UFC Fight Night: Allen vs. Craig, UFC Fight Night: Lewis vs. Spivac","Red, Blue",KO/TKO Punch,Men
Jenel Lausa,7.0,5.0,165.1,56.7,172.72,Orthodox,35.0,1.44,0.42,3.53,0.53,0.55,0.66,0.51,0.8,9.0,0.0,0.0,"UFC Fight Night: Cowboy vs. Edwards, UFC Fight Night: Werdum vs. Tybura, UFC 210: Cormier vs. Johnson 2",Blue,U-DEC,Men
Jennifer Maia,21.0,10.0,162.56,56.7,162.56,Orthodox,35.0,4.35,0.38,4.52,0.55,0.42,0.27,0.58,0.1,60.0,2.0,0.0,"UFC Fight Night: Yusuff vs. Barboza, UFC 286: Edwards vs. Usman 3, UFC Fight Night: Nzechukwu vs. Cutelaba, UFC Fight Night: Blaydes vs. Daukaus, UFC 264: Poirier vs. McGregor 3","Blue, Red",U-DEC,Women
Jens Pulver,27.0,19.0,170.18,65.77,177.8,Southpaw,49.0,2.12,0.37,3.13,0.56,0.22,0.33,0.63,0.3,122.0,1.0,0.0,"UFC 35: Throwdown, UFC 33: Victory in Vegas, UFC 30: Battle on the Boardwalk, UFC 28: High Stakes, UFC 26: Ultimate Field Of Dreams, UFC 24: First Defense",Red,"M-DEC, U-DEC, KO/TKO Punch, KO/TKO Punches",Men
JeongYeong Lee,11.0,1.0,177.8,65.77,185.42,Orthodox,28.0,2.81,0.53,1.57,0.59,0.96,0.66,0.76,0.5,75.0,2.0,0.0,"UFC Fight Night: Dolidze vs. Imavov, UFC Fight Night: Lewis vs. Spivac",Red,S-DEC,Men
Jeremiah Wells,12.0,4.0,175.26,77.11,187.96,Switch,37.0,2.41,0.43,1.31,0.48,3.08,0.44,0.8,0.8,41.0,3.0,2.0,"UFC Fight Night: Sandhagen vs. Font, UFC Fight Night: Pavlovich vs. Blaydes, UFC 271: Adesanya vs. Whittaker 2","Blue, Red","S-DEC, SUB Rear Naked Choke",Men
Jeremy Horn,91.0,22.0,185.42,83.91,187.96,Orthodox,48.0,1.19,0.39,1.99,0.55,1.83,0.38,0.29,1.1,5.0,0.0,4.0,"UFC 60: Hughes vs Gracie, UFC 56: Full Force, UFC 27: Ultimate Bad Boyz, UFC 22: Only One Can be Champion, UFC 21: Return of the Champions, UFC 19: Ultimate Young Guns",Red,"SUB Armbar, U-DEC, KO/TKO Elbows, SUB Arm Triangle",Men
Jeremy Jackson,9.0,5.0,177.8,77.11,,Orthodox,41.0,0.71,0.27,2.03,0.25,1.52,0.4,0.58,0.0,,,,,,,
Jeremy Kennedy,11.0,1.0,180.34,65.77,180.34,Orthodox,31.0,2.22,0.46,2.58,0.47,5.73,0.52,0.66,0.0,43.0,5.0,0.0,UFC on FOX: Maia vs. Condit,Red,U-DEC,Men
Jeremy Kimball,15.0,8.0,182.88,92.99,182.88,Switch,33.0,2.81,0.46,3.84,0.49,1.41,0.2,0.5,0.0,4.0,0.0,0.0,"UFC Fight Night: Shogun vs. Smith, UFC 218: Holloway vs. Aldo 2",Blue,KO/TKO Punches,Men
Jeremy Larsen,8.0,5.0,177.8,65.77,177.8,Orthodox,39.0,4.87,0.48,5.75,0.57,2.49,0.33,0.0,0.0,30.0,1.0,0.0,UFC 166: Velasquez vs Dos Santos 3,Blue,,Men
Jeremy Stephens,28.0,19.0,175.26,65.77,180.34,Orthodox,37.0,3.17,0.4,3.05,0.58,1.16,0.38,0.65,0.4,2.0,0.0,0.0,"UFC Fight Night: Makhachev vs. Moises, UFC 249: Ferguson vs. Gaethje, UFC 235: Jones vs. Smith, UFC Fight Night: Stephens vs. Choi, UFC 215: Nunes vs Shevchenko 2, UFC on FOX: Johnson vs. Reis, The Ultimate Fighter: A Champion Will Be Crowned Finale, UFC 160: Velasquez vs Silva 2, UFC 125: Resolution, UFC Fight Night: Diaz vs Guillard, UFC 91: Couture vs Lesnar, UFC Fight Night: Swick vs Burkman, UFC 76: Knockout","Blue, Red","KO/TKO Punch, U-DEC, KO/TKO Flying Knee, S-DEC",Men
Jermaine Andre,14.0,4.0,170.18,90.72,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Jerome Rivera,10.0,6.0,177.8,56.7,182.88,Southpaw,28.0,3.21,0.33,2.6,0.51,0.0,0.0,0.4,0.0,,,,,,,
Jerrod Sanders,16.0,3.0,172.72,61.23,182.88,Orthodox,44.0,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,,,,,,U-DEC,
Jerry Bohlander,11.0,4.0,180.34,90.26,,Orthodox,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,"UFC 16: Battle in the Bayou, UFC 12: Judgement Day, UFC 11: The Proving Ground, UFC 8: David vs Goliath",Red,"S-DEC, KO/TKO Elbows, SUB Rear Naked Choke, SUB Scarf Hold, U-DEC",Men
Jess Liaudin,20.0,11.0,175.26,77.11,182.88,Orthodox,,2.46,0.51,2.76,0.41,3.28,0.53,0.3,1.6,46.0,0.0,0.0,"UFC 75: Champion vs Champion, UFC 70: Nations Collide",Red,"KO/TKO Punches, SUB Armbar",Men
Jessamyn Duke,3.0,5.0,180.34,61.23,185.42,Orthodox,37.0,4.83,0.53,4.43,0.57,1.27,0.36,0.5,1.9,54.0,2.0,3.0,"UFC on FOX: Dillashaw vs. Barao II, UFC Fight Night: Cowboy vs Miller, UFC 172: Jones vs Teixeira, The Ultimate Fighter: Team Rousey vs. Team Tate Finale","Blue, Red",U-DEC,Women
Jesse Bongfeldt,16.0,5.0,182.88,83.91,,Orthodox,43.0,2.91,0.62,1.01,0.5,1.51,0.33,0.33,0.0,17.0,0.0,0.0,UFC 131: Dos Santos vs Carwin,Blue,M-DEC,Men
Jesse Butler,12.0,5.0,177.8,65.77,185.42,Orthodox,31.0,2.61,0.14,7.83,0.4,0.0,0.0,0.0,0.0,,,,,,,
Jesse Forbes,15.0,5.0,187.96,83.91,190.5,Southpaw,39.0,2.11,0.24,4.06,0.53,1.79,0.75,0.66,1.2,3.0,1.0,1.0,UFC 114: Rampage vs Evans,Blue,,Men
Jesse Lennox,14.0,4.0,175.26,77.11,182.88,Orthodox,42.0,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3,39.0,1.0,0.0,UFC 101: Declaration,Red,KO/TKO,Men
Jesse Ronson,21.0,12.0,177.8,70.31,177.8,Southpaw,38.0,3.54,0.47,3.39,0.57,0.46,0.28,0.57,0.5,51.0,1.0,1.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Blue,,Men
Jesse Sanders,23.0,7.0,182.88,77.11,,Orthodox,,0.0,0.0,6.45,0.35,0.0,0.0,0.5,0.0,,,,,,,
Jesse Strader,5.0,3.0,170.18,61.23,177.8,Orthodox,32.0,5.03,0.51,5.28,0.47,3.87,0.57,1.0,0.0,,,,,,,
Jesse Taylor,31.0,15.0,182.88,77.11,185.42,Orthodox,41.0,1.94,0.65,0.55,0.38,7.28,0.5,1.0,3.1,,,,,,SUB Rear Naked Choke,
Jessica Aguilar,20.0,8.0,160.02,52.16,160.02,Orthodox,41.0,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,138.0,0.0,0.0,"UFC Fight Night: Dos Santos vs. Ivanov, UFC 211: Miocic vs. Dos Santos","Red, Blue",U-DEC,Women
Jessica Andrade,25.0,12.0,154.94,52.16,157.48,Orthodox,32.0,6.67,0.5,5.36,0.54,2.45,0.54,0.72,0.4,53.0,0.0,0.0,"UFC 295: Prochazka vs. Pereira, UFC Fight Night: Sandhagen vs. Font, UFC 288: Sterling vs. Cejudo, UFC Fight Night: Andrade vs. Blanchfield, UFC 266: Volkanovski vs. Ortega, UFC 251: Usman vs. Masvidal, UFC Fight Night: Andrade vs. Zhang, UFC 228: Woodley vs. Till, UFC Fight Night: Emmett vs. Stephens, UFC Fight Night: Bermudez vs. The Korean Zombie, UFC 203: Miocic vs. Overeem, UFC 191: Johnson vs Dodson 2, UFC Fight Night: Mir vs Duffee, UFC Fight Night: Bigfoot vs Mir, UFC Fight Night: Bigfoot vs Arlovski","Red, Blue","KO/TKO Punch, U-DEC, SUB Arm Triangle, KO/TKO Punches, KO/TKO Slam, SUB Guillotine Choke, S-DEC",Women
Jessica Eye,15.0,11.0,167.64,56.7,167.64,Orthodox,37.0,3.86,0.37,4.19,0.55,0.58,0.4,0.57,0.5,76.0,1.0,0.0,"UFC 276: Adesanya vs. Cannonier, UFC 257: Poirier vs. McGregor, UFC Fight Night: Eye vs. Calvillo, UFC 245: Usman vs. Covington, UFC 203: Miocic vs. Overeem, UFC 192: Cormier vs Gustafsson, UFC 180: Werdum vs Hunt","Blue, Red","U-DEC, S-DEC, KO/TKO",Women
Jessica Penne,14.0,8.0,165.1,52.16,170.18,Orthodox,41.0,2.52,0.31,4.75,0.46,1.32,0.21,0.36,0.6,19.0,0.0,0.0,"UFC 285: Jones vs. Gane, UFC Fight Night: Ortega vs. Rodriguez, UFC Fight Night: Whittaker vs. Gastelum, UFC Fight Night: Swanson vs. Lobov, UFC 199: Rockhold vs. Bisping 2, The Ultimate Fighter: A Champion Will Be Crowned Finale","Blue, Red","SUB Armbar, S-DEC",Women
Jessica Rakoczy,1.0,5.0,170.18,52.16,,Orthodox,46.0,2.5,0.44,3.55,0.64,0.75,0.2,0.0,0.8,60.0,1.0,1.0,UFC 186: Johnson vs Horiguchi,Blue,,Women
Jessica-Rose Clark,11.0,9.0,165.1,61.23,162.56,Orthodox,36.0,3.73,0.51,3.51,0.58,1.66,0.42,0.62,0.3,28.0,1.0,0.0,"UFC Fight Night: Rozenstruik vs. Almeida, UFC 276: Adesanya vs. Cannonier, UFC Fight Night: Walker vs. Hill, UFC Fight Night: Costa vs. Vettori, UFC Fight Night: Covington vs. Woodley, UFC Fight Night: Zabit vs. Kattar, UFC Fight Night: Cowboy vs. Edwards","Blue, Red",U-DEC,Women
Jessin Ayari,16.0,6.0,182.88,70.31,185.42,Orthodox,31.0,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3,72.0,0.0,0.0,UFC Fight Night: Arlovski vs. Barnett,Red,S-DEC,Men
Jesus Aguilar,10.0,2.0,162.56,56.7,157.48,Orthodox,28.0,1.49,0.5,1.11,0.59,1.9,0.33,0.4,1.4,38.0,1.0,1.0,UFC Fight Night: Moreno vs. Royval 2,Red,KO/TKO Punch,Men
Jesus Pinedo,16.0,5.0,177.8,70.31,,Southpaw,27.0,3.23,0.38,4.37,0.52,2.5,1.0,1.0,0.0,,,,,,U-DEC,
Ji Yeon Kim,9.0,7.0,170.18,56.7,182.88,Orthodox,34.0,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1,32.0,0.0,1.0,"UFC Fight Night: Rozenstruik vs. Almeida, UFC Fight Night: Makhachev vs. Green, UFC Fight Night: Smith vs. Rakic, The Ultimate Fighter: Heavy Hitters Finale, UFC Fight Night: Cowboy vs. Edwards, UFC Fight Night: Holm vs. Correia","Blue, Red","KO/TKO Punch, S-DEC",Women
Jianping Yang,11.0,4.0,170.18,65.77,,Orthodox,35.0,1.4,0.26,2.07,0.65,1.0,0.25,0.33,0.0,,,,,,,
Jim Alers,13.0,3.0,175.26,65.77,180.34,Orthodox,37.0,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,49.0,4.0,0.0,UFC on FOX: Holm vs. Shevchenko,Blue,S-DEC,Men
