name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,r_str_x,r_td_x,r_sub_att,event_name,winner,Method,gender
Frank Shamrock,23.0,10.0,177.8,83.91,,Orthodox,51.0,4.75,0.53,4.66,0.57,0.35,0.5,0.37,1.1,193.0,0.0,1.0,"UFC 22: Only One Can be Champion, UFC - Ultimate Brazil, UFC 17: Redemption, UFC 16: Battle in the Bayou, UFC - Ultimate Japan",Red,"KO/TKO Punches, SUB Neck Crank, SUB Kneebar, U-DEC, Overturned",Men
Frank Trigg,21.0,9.0,175.26,77.11,180.34,Southpaw,51.0,2.79,0.46,1.9,0.56,2.35,0.47,0.75,0.8,65.0,1.0,0.0,"UFC 50: The War Of '04, UFC 48: Payback",Red,"KO/TKO Elbows, KO/TKO Punches",Men
Frankie Edgar,23.0,11.0,167.64,61.23,172.72,Orthodox,42.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3,2.0,0.0,0.0,"UFC 281: Adesanya vs. Pereira, UFC 268: Usman vs. Covington 2, UFC Fight Night: Edgar vs. The Korean Zombie, UFC Fight Night: Barboza vs. Lee, UFC 222: Cyborg vs. Kunitskaya, UFC 211: Miocic vs. Dos Santos, UFC 205: Alvarez vs McGregor, The Ultimate Fighter: Team McGregor vs. Team Faber Finale, UFC Fight Night: Edgar vs Faber, UFC Fight Night: Edgar vs Swanson, The Ultimate Fighter: Team Edgar vs. Team Penn Finale, UFC 162: Silva vs Weidman, UFC 144: Edgar vs Henderson, UFC 136: Edgar vs Maynard 3, UFC 118: Edgar vs Penn 2, The Ultimate Fighter: Heavyweights Finale, UFC 98: Evans vs Machida, UFC: Silva vs Irvin, UFC 78: Validation, UFC 73: Stacked, UFC 67: All or Nothing","Blue, Red","S-DEC, KO/TKO, U-DEC, KO/TKO Punch, KO/TKO Punches",Men
Frankie Perez,10.0,4.0,180.34,70.31,185.42,Orthodox,34.0,1.64,0.41,2.17,0.54,1.75,0.41,0.5,0.3,53.0,3.0,0.0,"UFC Fight Night: Weidman vs. Gastelum, UFC Fight Night: Lewis vs. Abdurakhimov",Blue,KO/TKO Punches,Men
Frankie Saenz,13.0,7.0,167.64,61.23,167.64,Orthodox,43.0,3.94,0.47,3.5,0.52,1.74,0.31,0.61,0.1,52.0,1.0,0.0,"UFC Fight Night: Brunson vs. Shahbazyan, UFC Fight Night: Swanson vs. Ortega, UFC Fight Night: Rodriguez vs. Penn, UFC on FOX: Holm vs. Shevchenko, UFC Fight Night: Teixeira vs Saint Preux","Blue, Red",U-DEC,Men
Fredson Paixao,10.0,5.0,167.64,65.77,167.64,Orthodox,44.0,1.71,0.54,2.31,0.62,0.62,0.11,0.1,2.2,1.0,0.0,0.0,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Blue,,Men
Fredy Serrano,3.0,2.0,160.02,56.7,165.1,Orthodox,44.0,1.58,0.26,1.89,0.61,2.84,0.25,0.84,0.0,,,,,,KO/TKO,
Gabe Green,11.0,5.0,177.8,70.31,185.42,Switch,30.0,6.28,0.45,6.95,0.47,0.83,0.5,0.53,0.3,54.0,0.0,0.0,"UFC Fight Night: Font vs. Vera, UFC 258: Usman vs. Burns",Red,"KO/TKO Punches, U-DEC",Men
Gabe Ruediger,18.0,8.0,177.8,70.31,,Orthodox,46.0,1.7,0.31,5.16,0.41,2.04,0.11,0.28,0.0,,,,,,,
Gabriel Benitez,23.0,12.0,172.72,70.31,180.34,Southpaw,35.0,4.92,0.41,4.26,0.62,0.24,0.5,0.55,1.0,47.0,1.0,0.0,"UFC Fight Night: Vera vs. Cruz, UFC Fight Night: Walker vs. Hill, UFC Fight Night: Makhachev vs. Moises, UFC Fight Night: Hermansson vs. Vettori, UFC Fight Night: Smith vs. Teixeira, UFC 241: Cormier vs. Miocic 2, UFC Fight Night: Maia vs. Usman, UFC 211: Miocic vs. Dos Santos, UFC Fight Night: Poirier vs. Johnson, UFC Fight Night: Magny vs Gastelum, UFC 188: Velasquez vs Werdum, UFC 180: Werdum vs Hunt","Red, Blue","KO/TKO Punches, U-DEC, SUB Guillotine Choke",Men
Gabriel Bonfim,15.0,1.0,185.42,77.11,182.88,Orthodox,26.0,4.87,0.4,5.25,0.59,4.75,0.71,1.0,3.8,47.0,3.0,1.0,"UFC Fight Night: Almeida vs. Lewis, UFC 291: Poirier vs. Gaethje 2, UFC 283: Teixeira vs. Hill","Blue, Red",SUB Guillotine Choke,Men
Gabriel Gonzaga,17.0,11.0,187.96,109.77,193.04,Orthodox,44.0,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1,29.0,2.0,0.0,"The Ultimate Fighter: Team McGregor vs. Team Faber Finale, UFC Fight Night: Gonzaga vs Cro Cop 2, UFC on FOX: Dos Santos vs Miocic, UFC 166: Velasquez vs Dos Santos 3, UFC 162: Silva vs Weidman, UFC on FX: Belfort vs Bisping, UFC 142: Aldo vs Mendes, UFC 102: Couture vs Nogueira, UFC 91: Couture vs Lesnar, UFC 86: Jackson vs Griffin, UFC 70: Nations Collide, UFC 66: Liddell vs Ortiz 2, UFC 60: Hughes vs Gracie, UFC 56: Full Force","Red, Blue","U-DEC, KO/TKO Punch, SUB Guillotine Choke, SUB Rear Naked Choke, KO/TKO Punches, SUB Kimura, KO/TKO Kick, SUB Armbar",Men
Gabriel Miranda,17.0,6.0,180.34,65.77,180.34,Orthodox,34.0,3.52,0.51,6.88,0.39,4.8,0.4,0.0,2.4,,,,,,SUB Rear Naked Choke,
Gabriel Santos,10.0,2.0,175.26,65.77,177.8,Orthodox,27.0,4.46,0.55,6.03,0.44,4.34,0.46,0.66,1.2,,,,,,,
Gabriel Silva,8.0,2.0,167.64,61.23,180.34,Orthodox,29.0,1.3,0.34,3.47,0.45,1.5,0.25,0.38,0.5,43.0,2.0,1.0,UFC Fight Night: Benavidez vs. Figueiredo,Blue,,Men
Gabriella Fernandes,8.0,3.0,167.64,56.7,167.64,Southpaw,30.0,1.63,0.47,2.7,0.47,0.0,0.0,0.61,0.0,,,,,,,
Gadzhi Omargadzhiev,13.0,2.0,185.42,77.11,180.34,Switch,31.0,1.8,0.39,2.2,0.39,1.35,0.3,0.6,0.5,,,,,,,
Gadzhimurad Antigulov,20.0,8.0,180.34,92.99,177.8,Orthodox,37.0,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,31.0,1.0,0.0,"UFC Fight Night: Ortega vs. The Korean Zombie, UFC Fight Night: Overeem vs. Oleinik, UFC Fight Night: Alvarez vs. Poirier 2",Blue,"SUB Rear Naked Choke, SUB Guillotine Choke",Men
Gaetano Pirrello,15.0,7.0,170.18,61.23,165.1,Orthodox,31.0,0.99,0.55,2.44,0.42,0.0,0.0,0.3,0.0,,,,,,,
Galore Bofando,5.0,3.0,180.34,77.11,182.88,Switch,41.0,3.63,0.45,3.63,0.54,2.37,1.0,0.5,0.0,,,,,,KO/TKO Slam,
Gan McGee,13.0,5.0,208.28,120.2,,Orthodox,47.0,2.2,0.29,2.31,0.59,0.65,0.25,0.83,0.0,13.0,0.0,0.0,"UFC 41: Onslaught, UFC 39: The Warriors Return",Red,"KO/TKO Punches, KO/TKO",Men
Garett Whiteley,7.0,3.0,182.88,70.31,182.88,Orthodox,43.0,3.72,0.48,4.04,0.46,0.0,0.0,0.27,0.9,,,,,,,
Garreth McLellan,13.0,6.0,185.42,83.91,182.88,Southpaw,41.0,3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9,6.0,0.0,0.0,"UFC Fight Night: Belfort vs. Gastelum, UFC on FOX: Maia vs. Condit",Blue,KO/TKO Punches,Men
Garrett Armfield,10.0,3.0,167.64,61.23,177.8,Orthodox,27.0,6.22,0.53,3.93,0.58,0.0,0.0,0.64,0.0,,,,,,KO/TKO Punches,
Gary Goodridge,23.0,22.0,190.5,112.94,,Orthodox,58.0,1.84,0.56,2.14,0.48,0.4,1.0,0.53,0.8,8.0,0.0,0.0,"UFC 19: Ultimate Young Guns, UFC 10: The Tournament, UFC 8: David vs Goliath",Red,"KO/TKO Punches, KO/TKO Headbutt, U-DEC",Men
Gasan Umalatov,17.0,4.0,180.34,77.11,180.34,Orthodox,41.0,2.23,0.39,4.1,0.59,0.75,0.17,0.9,0.0,,,,,,U-DEC,
Gaston Bolanos,7.0,4.0,170.18,61.23,175.26,Orthodox,31.0,3.88,0.43,3.49,0.49,0.0,0.0,0.5,0.0,,,,,,U-DEC,
Gavin Tucker,13.0,3.0,167.64,65.77,167.64,Southpaw,37.0,4.29,0.44,4.18,0.57,3.13,0.44,0.53,1.5,123.0,7.0,0.0,"UFC 256: Figueiredo vs. Moreno, UFC Fight Night: Lewis vs. Oleinik, UFC 240: Holloway vs. Edgar, UFC 215: Nunes vs Shevchenko 2","Red, Blue","U-DEC, SUB Rear Naked Choke",Men
Geane Herrera,9.0,3.0,165.1,56.7,167.64,Orthodox,33.0,1.51,0.31,5.07,0.52,0.83,0.37,0.38,0.6,,,,,,KO/TKO Punch,
Gegard Mousasi,42.0,6.0,187.96,83.91,193.04,Orthodox,38.0,3.75,0.5,1.21,0.68,1.59,0.6,0.59,1.1,20.0,1.0,0.0,"UFC Fight Night: Mousasi vs. Hall 2, UFC 200: Tate vs Nunes, UFC Fight Night: Silva vs Bisping, UFC Fight Night: Barnett vs Nelson, UFC Fight Night: Edgar vs Faber, UFC on FUEL TV: Mousasi vs Latifi","Red, Blue","KO/TKO Knee, KO/TKO Punches, KO/TKO Punch, U-DEC",Men
Genaro Valdez,10.0,3.0,175.26,70.31,182.88,Orthodox,32.0,4.08,0.3,7.16,0.48,1.54,0.44,0.36,0.4,,,,,,,
